emma
jane
austen
volume
chapter
woodhouse
handsome
clever
rich
comfortable
home
happy
disposition
seemed
unite
best
blessings
existence
lived
nearly
twenty
one
years
world
little
distress
vex
youngest
two
daughters
affectionate
indulgent
father
consequence
sister
marriage
mistress
house
early
period
mother
died
long
ago
indistinct
remembrance
caresses
place
supplied
excellent
woman
governess
fallen
short
affection
sixteen
miss
taylor
mr
family
less
friend
fond
particularly
intimacy
sisters
even
ceased
hold
nominal
office
mildness
temper
hardly
allowed
impose
restraint
shadow
authority
passed
away
living
together
mutually
attached
liked
highly
esteeming
judgment
directed
chiefly
real
evils
indeed
situation
power
rather
much
way
think
well
disadvantages
threatened
alloy
many
enjoyments
danger
however
present
unperceived
means
rank
misfortunes
sorrow
came
gentle
shape
disagreeable
consciousness
married
loss
first
brought
grief
wedding
day
beloved
sat
mournful
thought
continuance
bride
people
gone
left
dine
prospect
third
cheer
evening
composed
sleep
dinner
usual
sit
lost
event
every
promise
happiness
weston
man
unexceptionable
character
easy
fortune
suitable
age
pleasant
manners
satisfaction
considering
self
denying
generous
friendship
always
wished
promoted
match
black
morning
work
want
would
felt
hour
recalled
past
kindness
taught
played
five
old
devoted
powers
attach
amuse
health
nursed
various
illnesses
childhood
large
debt
gratitude
owing
intercourse
last
seven
equal
footing
perfect
unreserve
soon
followed
isabella
yet
dearer
tenderer
recollection
companion
possessed
intelligent
informed
useful
knowing
ways
interested
concerns
peculiarly
pleasure
scheme
could
speak
arose
never
find
fault
bear
change
true
going
half
mile
aware
great
must
difference
mrs
advantages
natural
domestic
suffering
intellectual
solitude
dearly
loved
meet
conversation
rational
playful
evil
actual
disparity
ages
increased
constitution
habits
valetudinarian
life
without
activity
mind
body
older
though
everywhere
friendliness
heart
amiable
talents
recommended
time
comparatively
removed
matrimony
settled
london
miles
beyond
daily
reach
october
november
struggled
hartfield
christmas
next
visit
husband
children
fill
give
society
highbury
populous
village
almost
amounting
town
spite
separate
lawn
shrubberies
name
really
belong
afforded
equals
woodhouses
looked
acquaintance
universally
civil
among
accepted
lieu
melancholy
sigh
wish
impossible
things
till
awoke
made
necessary
cheerful
spirits
required
support
nervous
easily
depressed
used
hating
part
kind
origin
reconciled
daughter
marrying
ever
compassion
entirely
obliged
selfishness
able
suppose
feel
differently
disposed
done
sad
thing
deal
happier
spent
rest
smiled
chatted
cheerfully
keep
thoughts
tea
say
exactly
said
poor
pity
cannot
agree
papa
know
good
humoured
thoroughly
deserves
wife
live
us
odd
humours
might
advantage
three
times
dear
often
shall
see
coming
meeting
begin
go
pay
get
far
randalls
distance
walk
nobody
walking
carriage
sure
james
like
put
horses
paying
stable
already
talked
night
may
housemaid
doubt
whether
take
anywhere
else
got
hannah
mentioned
glad
lucky
slighted
upon
account
make
servant
pretty
spoken
girl
opinion
whenever
curtseys
asks
manner
needlework
observe
turns
lock
door
right
bangs
comfort
somebody
goes
hearing
tell
spared
exertions
maintain
flow
ideas
hoped
help
backgammon
tolerably
attacked
regrets
table
placed
visitor
immediately
afterwards
walked
unnecessary
knightley
sensible
eight
thirty
intimate
connected
elder
brother
frequent
welcome
directly
mutual
connexions
returned
late
days
absence
brunswick
square
circumstance
animated
inquiries
answered
satisfactorily
gratefully
observed
come
call
afraid
shocking
sir
beautiful
moonlight
mild
draw
back
fire
found
damp
dirty
catch
cold
look
shoes
speck
quite
surprising
vast
rain
rained
dreadfully
hard
breakfast
wanted
bye
joy
sort
feeling
hurry
congratulations
hope
went
behave
cried
ah
tis
business
please
possibly
regard
comes
question
dependence
independence
rate
better
especially
fanciful
troublesome
creature
playfully
head
certainly
believe
sometimes
dearest
mean
horrible
idea
oh
meant
loves
joke
another
fact
faults
told
agreeable
knew
suspect
knows
flatter
reflection
persons
chances
gainer
willing
let
pass
hear
behaved
charmingly
punctual
looks
tear
face
seen
apart
bears
sorry
lose
thinks
turned
divided
tears
smiles
acceptable
important
secure
provision
therefore
allow
pain
happily
forgotten
matter
considerable
four
proved
marry
shook
fondly
replied
matches
foretell
whatever
pray
none
greatest
amusement
success
widower
perfectly
constantly
occupied
either
friends
wherever
need
spend
single
year
alone
deathbed
others
son
uncle
letting
solemn
nonsense
subject
believed
since
met
broadway
lane
began
drizzle
darted
gallantry
borrowed
umbrellas
farmer
mitchell
planned
blessed
instance
leave
making
understand
supposes
endeavour
properly
delicately
endeavouring
bring
worthy
employment
young
lady
imagine
planning
saying
idle
talk
merit
proud
guess
known
triumph
cleverer
depend
merely
luck
talent
word
quarrel
claim
drawn
pictures
something
nothing
visits
given
encouragements
smoothed
matters
enough
comprehend
straightforward
open
hearted
unaffected
safely
manage
likely
harm
interference
rejoined
understanding
silly
break
circle
grievously
elton
whole
fitted
comfortably
shame
longer
joining
hands
service
shew
attention
ask
dare
laughing
invite
fish
chicken
chuse
six
care
ii
native
born
respectable
generations
rising
gentility
property
received
education
succeeding
small
become
indisposed
homely
pursuits
brothers
engaged
satisfied
active
social
entering
militia
county
embodied
captain
general
favourite
military
introduced
churchill
yorkshire
fell
love
surprized
except
full
